field_identifier,name,field_alternate_name,field_name_arabic,field_alternate_name_arabic,field_cat_date_begin,field_cat_date_end,field_biography,field_affiliated_country,field_occupation,field_affiliated_language,field_facebook_id,field_facebook_title,field_twitter_id,field_twitter_title,field_instagram_id,field_instagram_title,field_youtube_channel_id,field_youtube_channel_id_title
000a001,Maria Assif,,مارية اسيف,,,,"Maria Assif is an award-winning academic, professor, editor, and critic. She was born in Morocco and has spent her adult life in North America, both as a student and as an academic. Her areas of expertise are Arab women writing, writing studies, and pedagogy.  She is currently an English Associate Professor at the University of Toronto Scarborough.<br><b>Awards</b><br>Fulbright, Mellon, Tedex, and many teaching  awards at City Colleges in Chicago and at the University of Toronto, and Tedex",Canada|United States|Morocco,Scholar|Academic,English|Arabic|French,,,,,,,,
000a276,Hadiya Hussein,Hadia Hussein|Hadiya Husayn|Hadiyya Husein|,هدية حسين,هادية حسين,,,"Hadiya Hussein is an Iraqi Canadian short story writer novelist and poet born in Baghdad. Many of her books have been translated into several languages. She was blacklisted in 1999 by the Saddam Hussein regime in Iraq and left, eventually moving to Jordan and then Canada. <br><b>Awards</b><br>Sharjah Award for Arab Women's Literature, 2015",Canada|Iraq,Short Story Writer|Novelist|Poet,Arabic|English,,,,,,,,
000a277,Christine Estima,,كريستين إستيما,,,,"Christine Estima is a novelist, short story writer, playwright photographer, essayist, journalist of Portuguese and Lebanese heritage. Estima has a range of her works such as her short story collections, essays, and photographs published in several diverse media outlets such as The New York Times, The Toronto Star, The Walrus, and Grain Magazine, among many others. <br><b>Awards</b><br>",Canada|Lebanon|Portugal|United States,Novelist|Short Story Writer|Essayist|Playwright|Poet|journalist|novelist,English,https://www.youtube.com/c/cestima,facebook,https://twitter.com/ChristineEstima,twitter,https://instagram.com/cestima,instagram,https://www.youtube.com/c/cestima,youtube
000a278,May Telmissany,,مي التلمساني,,,,"May Telmissany is an Egyptian Canadian scholar, critic, short story writer, novelist, translator, and born in Cairo. Telmissanny works as a professor at University of Ottawa for Arab studies and cinema.Many of her works have been widely translated.<br><b>Awards</b><br>Ulysses Prize for Best First Novel, 2002; Cairo State Prize for Autobiographical Novel, 2002",Canada|Egypt,Critic|Novelist|Short Story Writer|Translator|Scholar,Arabic|French,https://www.youtube.com/user/Maytel1965,facebook,https://twitter.com/maytelmissany,twitter,https://instagram.com/may.telmissany,instagram,https://www.youtube.com/user/Maytel1965,youtube
000a279,Ghadir Elghafri,Ghadeer Elghafri,غدير الغفري,,,,"Ghadeer Elghafri is a Palestinan-Canadian activist, poet, and artist born in Dubai and living in Toronto. Elghafri is the founder of the community space Qahwa Art Cafe. Additionally she has organized many open mics where she has also performed her poetry, and she has also performed her poetry in Dubai. <br><b>Awards</b><br>",Canada,Poet|Activist|Artist,English|Arabic,https://www.youtube.com/ghadeerelghafri,facebook,https://twitter.com/Ghadir_ElGhafri,twitter,https://instagram.com/gghafri,instagram,https://www.youtube.com/ghadeerelghafri,youtube
000a280,Nour Hadidi,Noor Hadidi,نور الحديدي,,,,"Nour Hadidi was a writer born in Jordan and lives in Toronto. She works as a comedian and has made numerous appearances for various comedy specials and has written for the Comedy Network’s The Beaverton and CBC comedy. Hadidi has been featured by media outlets and hosts her own BIPOC comedy writing workshops.
<br><b>Awards</b><br>",Canada|Jordan,Script Writer|Screenwriter|Comedy Writer,English,https://www.youtube.com/user/TheNhadidi,facebook,https://twitter.com/NourHadidi,twitter,https://instagram.com/nourhadidi,instagram,https://www.youtube.com/user/TheNhadidi,youtube
000a281,Lina Khalifeh,,لينا خليفة,,,,"Lina Khalifeh is a writer and activist raised in Jordan and holds over a decade of experience and a championship status in Taekwondo. Khalifeh is most well known for being the founder of an organization called She Fighter which is the first women-only self defence studio in the Middle East. She has made numerous appearances for talks in regards to her book which is also titled She Fighter.
<br><b>Awards</b><br>ESPN Humanitarian Award Winner, 2019",Canada|Jordan,Activist|Writer,English,https://www.youtube.com/c/SheFighterofficial,facebook,https://twitter.com/Lina_khalifeh,twitter,https://instagram.com/lina_khalifeh,instagram,https://www.youtube.com/c/SheFighterofficial,youtube
000a282,Mona Awad,,منى عوض,منى عواد,,,"Mona Awad is a Novelist, Journalist, Scholar and Short Story writer born in Montreal and is currently based in the United States. Awad earned her Bachelors from York University, her Masters from the University of Edinburgh and her Ph.D from the University of Denver. She wrote for the column maisonneuve and has had her work featured on various media outlets such as The New York Times among others. <br><b>Awards</b><br>",Canada|United States,Novelist|Journalist|Scholar|Short Story Writer,English,https://www.youtube.com/channel/UCVJsszZxFvW23r5-LipO_wQ,,https://twitter.com/monaawadauthor,twitter,https://instagram.com/misss_read,instagram,https://www.youtube.com/channel/UCVJsszZxFvW23r5-LipO_wQ,youtube
000a283,Sonia Saikaley,,سونيا سيكالي,,,,"Sonia Saikaley is a poet and novelist born in Ottawa to a Lebaneese family. She graduated from Humber School For Writers and from the University of Ottawa. Saikaley has previously worked in Japan as an English Teacher and is working on a novel called Jasmine Season on Hamra Street as of 2021
<br><b>Awards</b><br>Gold Medal winner for Multicultural Fiction in the Independent Publisher Book Awards, 2020",Canada|Lebanon,Novelist|Poet,English,,,https://twitter.com/SaikaleySonia,twitter,https://instagram.com/soniasaikaley,instagram,,
000a284,Lamees Al Ethari,,لميس العذاري,لميس الاثاري,,,"Lamees Al Ethari is a poet, scholar and memoirist who was born in Iraq and immigrated to Canada. Ethari holds a Master degree from the University of Baghdad, a second Masters degree from Kansas State University and a Ph.D from the University of Waterloo. <br><b>Awards</b><br>The Dorothy Shoemaker Literary Award for Prose, 2011; Graduate Creative Writing Award for Poetry, 2011; The Dorothy Shoemaker Literary Award for Poetry, 2009; Graduate Creative Writing Award for Prose, 2007",Canada|Iraq|America,Poet|Scholar|Memoirist,English|Arabic,,,,,,,,
